"Gender","Fingerprint","TimeUpx","W","H","leng","leng_sum","speed","Force","ForceUp","Rx","Ry","varX","varY","corrYX"
"f","48e06318776abcebfed529fe58ad2fcf",1703.16667,360,720,257.27409,1543.64454,0.17532,0.02027,0,0,0,192.47223,4021.13889,-0.95213
"f","8d3933d1a04dc4fb821ed0340b1063a8",873.3077,360,640,113.53367,4427.81302,0.32306,1,0,6.82593,6.82593,6997.524,4628.89678,0.4231
"f","8d3933d1a04dc4fb821ed0340b1063a8",710.36364,360,640,111.4168,6127.92354,0.26533,1,0,8.06852,8.06852,4238.15868,5863.19868,0.55982
"f","fcafb45fd3eda8100cfc558dfe9ba987",1711.08334,360,640,197.85185,2374.22215,0.1568,1,0,0,0,171.90973,11028.57639,-0.5578
"f","8d3933d1a04dc4fb821ed0340b1063a8",155.66667,360,640,42.42637,1018.2327,0.27766,1,0,10.062,10.062,672.99827,1394.91667,0.37833
"f","0703d9e1462f9de372465d6e32e8a27d",749.75,360,640,386.32971,3090.63764,0.58805,1,0,3.50001,3.50001,60.85938,392.75,-0.0574
"f","9c960c8e28004bd5a05eefd2a29f1dfe",600.54546,360,640,71.84095,1580.50081,0.24086,1,1,0.68182,0.68182,714.60331,1714.58058,-0.23646
"f","a50630ad13dabcc379970a5080d735b7",1562.33334,360,640,98.54485,591.26905,0.22247,1,0,0,0,15.80556,70.25,-0.54268
"f","9c960c8e28004bd5a05eefd2a29f1dfe",538.5,360,640,55.47233,1442.28052,0.21805,1,1,0.48077,0.48077,96.33137,121.34468,0.34819
"f","10ee042a14d0a9cc413e2412fad579c9",294.27273,412,732,140.01698,1540.18673,0.56797,1,0,0.15585,0.6407,245.42149,2533.70248,0.13776
"f","a1a857b5b06e372f9c815718ac340077",681.34286,640,360,185.48327,6491.9144,0.47747,1,0,0.70715,0.70715,54640.7396,2140.16817,0.09701
"f","8d3933d1a04dc4fb821ed0340b1063a8",146.54546,360,640,79.6801,876.48106,0.377,1,0,0,0,299.15703,917.32232,-0.62199
"f","8c47753e45070e4943f563a1d0ab5c1d",194.6,360,640,230.74211,3461.13155,0.78272,1,0,1.51503,1.66487,411.49334,1439.71556,-0.62928
"f","8d3933d1a04dc4fb821ed0340b1063a8",127,360,640,86.49278,86.49278,0.68105,1,0,12.64462,12.64462,0,0,nan
"f","8d3933d1a04dc4fb821ed0340b1063a8",698.5,360,640,76.64275,1686.1403,0.13166,1,0,0,0,666.8781,1474.84505,0.05385
"f","48e06318776abcebfed529fe58ad2fcf",1970.5,360,720,110.72555,442.90219,0.05969,0.01373,0,0,0,618.5,613.6875,0.99337
"f","amp-2Xyfg8OEq6JhydoWuX2s3Q",1133,360,640,153.37643,920.25856,0.27232,1,0,0.40691,0.40691,50.47223,1134.80556,-0.81189
"f","8c47753e45070e4943f563a1d0ab5c1d",171,360,640,120.14991,120.14991,0.70264,1,0,0.74919,1.24865,0,0,nan
"f","8c47753e45070e4943f563a1d0ab5c1d",1092.83334,360,640,110.86711,665.20263,0.39999,1,0,1.45676,1.70649,27.33334,165.33334,-0.59254
"f","e69ef8fe72e8ef38aa6e7971b594af82",600.65218,360,640,122.23737,2811.45947,0.33523,1,0,0.4126,0.4126,140.57845,394.22685,-0.31426
"f","ec02d0941d97ca01afe6dcde001f02c1",1434.46154,320,534,146.22017,1900.86216,0.13898,1,0,3.64103,3.64103,195.23077,2320.3077,0.06904
"f","9c960c8e28004bd5a05eefd2a29f1dfe",1053,360,640,88.73499,177.46998,0.084,1,1,0.875,0.875,56.25,529,-1
"f","8d3933d1a04dc4fb821ed0340b1063a8",548.45715,360,640,79.35716,2777.50027,0.16782,1,0,0,0,613.50694,1222.21715,-0.40212
"f","a50630ad13dabcc379970a5080d735b7",492,360,640,53.07558,371.52901,0.2254,1,0,0,0,717.10205,2208.20409,-0.97678
"f","8d3933d1a04dc4fb821ed0340b1063a8",499.66667,360,640,192.93868,1157.63203,0.51441,1,0,0,0,4232.55556,3248.47223,0.52911
"f","48e06318776abcebfed529fe58ad2fcf",692,360,720,232.66405,1163.32021,0.36766,0.01726,0,0,0,639.04001,1322.64,-0.30047
"f","8d3933d1a04dc4fb821ed0340b1063a8",161.7,360,640,70.24012,702.40116,0.4317,1,0,16.33228,16.33228,408.96,2011.29001,-0.45436
"f","0703d9e1462f9de372465d6e32e8a27d",1365,360,640,211.10738,1266.64423,0.19522,1,0,3.88889,3.88889,150.13889,542,0.06427
